"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","🍪 Cookies","0","Widget de gestion des cookies Axeptio","3","0","","0"
"0","🔐 Authentification","0","Routes publiques","1","0","","0"
"0","🔐 Authentification","0","Routes protégées","1","0","","0"
"0","🧑‍🦲 Accessibilité","0","Intégration d'axe-core dans les tests","4","0","","0"
"0","🔐 Authentification","1","Réinitialisation du mot de passe","2","0","","0"
"0","🔐 Authentification","2","Redirections après connexion","3","0","","0"
"0","🧑‍💻 Gestion du compte","3","Changement de mot de passe","0","0","","0"
"0","🔗 Connexions tierces","4","Boutons marchands","0","0","","0"
"0","🔐 Authentification","0","Accessibilité de la page de connexion","3","0","","0"
"0","💹 Trading","7","Achat de cryptomonnaies","1","0","","0"
"0","💹 Trading","4","Mode Expert","0","0","","0"
"0","📜 Historique","0","Export des transactions","1","0","","0"
"0","🔐 Authentification","0","Connexion","5","0","","0"
"0","🔐 Authentification","4","Authentification à deux facteurs","0","0","","0"
"0","🚀 Onboarding","2","Flows complets d'onboarding","0","0","","0"
"0","🔗 Connexions tierces","4","Tokens API","0","0","","0"
"0","🧭 Navigation","2","Navigation in-app","1","1","","0"
"0","🧭 Navigation","0","Navigation vers dépôt de cryptomonnaies","1","0","","0"
"0","📜 Historique","2","Historique des transactions","0","0","","0"
"0","🧭 Navigation","1","Navigation vers achat de cryptomonnaies","5","0","","0"
"0","🚀 Onboarding","0","Accessibilité des pages d'onboarding","3","0","","0"
"0","📈 Investissement","1","DCA (Achats récurrents)","0","0","Un utilisateur peut créer, éditer, mettre en pause, reprendre et stopper un DCA","0"
"0","📈 Investissement","3","Plan Bitcoin Famille","0","0","","0"
"0","🔐 Authentification","3","Gestion de session et expiration","0","0","","0"
"0","🔐 Authentification","1","Déconnexion","0","0","","0"
"0","🔎 Support client","1","Tickets de support","0","0","","0"
"0","🔐 Authentification","0","Vérouillage de compte","1","0","","0"
